序号,类别,名称,控件ID,行,列,x_mm,y_mm,形状,半径_mm,宽度_mm,高度_mm,备注
13,试剂区,试剂_S33,svg-reagent-s33,3.0,3.0,266.25,66.5,circle,10.0,,,5列×8行试剂圆中心；列号=试剂通道1~5，行号=从上到下1~8；编号规则为S<通道><瓶位>，如左上S11、左下S18、右下S58
14,试剂区,试剂_S43,svg-reagent-s43,3.0,4.0,241.25,66.5,circle,10.0,,,5列×8行试剂圆中心；列号=试剂通道1~5，行号=从上到下1~8；编号规则为S<通道><瓶位>，如左上S11、左下S18、右下S58
15,试剂区,试剂_S53,svg-reagent-s53,3.0,5.0,216.25,66.5,circle,10.0,,,5列×8行试剂圆中心；列号=试剂通道1~5，行号=从上到下1~8；编号规则为S<通道><瓶位>，如左上S11、左下S18、右下S58
16,试剂区,试剂_S14,svg-reagent-s14,4.0,1.0,316.25,91.5,circle,10.0,,,5列×8行试剂圆中心；列号=试剂通道1~5，行号=从上到下1~8；编号规则为S<通道><瓶位>，如左上S11、左下S18、右下S58
17,试剂区,试剂_S24,svg-reagent-s24,4.0,2.0,291.25,91.5,circle,10.0,,,5列×8行试剂圆中心；列号=试剂通道1~5，行号=从上到下1~8；编号规则为S<通道><瓶位>，如左上S11、左下S18、右下S58
18,试剂区,试剂_S34,svg-reagent-s34,4.0,3.0,266.25,91.5,circle,10.0,,,5列×8行试剂圆中心；列号=试剂通道1~5，行号=从上到下1~8；编号规则为S<通道><瓶位>，如左上S11、左下S18、右下S58
19,试剂区,试剂_S44,svg-reagent-s44,4.0,4.0,241.25,91.5,circle,10.0,,,5列×8行试剂圆中心；列号=试剂通道1~5，行号=从上到下1~8；编号规则为S<通道><瓶位>，如左上S11、左下S18、右下S58
20,试剂区,试剂_S54,svg-reagent-s54,4.0,5.0,216.25,91.5,circle,10.0,,,5列×8行试剂圆中心；列号=试剂通道1~5，行号=从上到下1~8；编号规则为S<通道><瓶位>，如左上S11、左下S18、右下S58
21,试剂区,试剂_S15,svg-reagent-s15,5.0,1.0,316.25,116.5,circle,10.0,,,5列×8行试剂圆中心；列号=试剂通道1~5，行号=从上到下1~8；编号规则为S<通道><瓶位>，如左上S11、左下S18、右下S58
22,试剂区,试剂_S25,svg-reagent-s25,5.0,2.0,291.25,116.5,circle,10.0,,,5列×8行试剂圆中心；列号=试剂通道1~5，行号=从上到下1~8；编号规则为S<通道><瓶位>，如左上S11、左下S18、右下S58
23,试剂区,试剂_S35,svg-reagent-s35,5.0,3.0,266.25,116.5,circle,10.0,,,5列×8行试剂圆中心；列号=试剂通道1~5，行号=从上到下1~8；编号规则为S<通道><瓶位>，如左上S11、左下S18、右下S58
24,试剂区,试剂_S45,svg-reagent-s45,5.0,4.0,241.25,116.5,circle,10.0,,,5列×8行试剂圆中心；列号=试剂通道1~5，行号=从上到下1~8；编号规则为S<通道><瓶位>，如左上S11、左下S18、右下S58
25,试剂区,试剂_S55,svg-reagent-s55,5.0,5.0,216.25,116.5,circle,10.0,,,5列×8行试剂圆中心；列号=试剂通道1~5，行号=从上到下1~8；编号规则为S<通道><瓶位>，如左上S11、左下S18、右下S58
26,试剂区,试剂_S16,svg-reagent-s16,6.0,1.0,316.25,141.5,circle,10.0,,,5列×8行试剂圆中心；列号=试剂通道1~5，行号=从上到下1~8；编号规则为S<通道><瓶位>，如左上S11、左下S18、右下S58
27,试剂区,试剂_S26,svg-reagent-s26,6.0,2.0,291.25,141.5,circle,10.0,,,5列×8行试剂圆中心；列号=试剂通道1~5，行号=从上到下1~8；编号规则为S<通道><瓶位>，如左上S11、左下S18、右下S58
28,试剂区,试剂_S36,svg-reagent-s36,6.0,3.0,266.25,141.5,circle,10.0,,,5列×8行试剂圆中心；列号=试剂通道1~5，行号=从上到下1~8；编号规则为S<通道><瓶位>，如左上S11、左下S18、右下S58
29,试剂区,试剂_S46,svg-reagent-s46,6.0,4.0,241.25,141.5,circle,10.0,,,5列×8行试剂圆中心；列号=试剂通道1~5，行号=从上到下1~8；编号规则为S<通道><瓶位>，如左上S11、左下S18、右下S58
30,试剂区,试剂_S56,svg-reagent-s56,6.0,5.0,216.25,141.5,circle,10.0,,,5列×8行试剂圆中心；列号=试剂通道1~5，行号=从上到下1~8；编号规则为S<通道><瓶位>，如左上S11、左下S18、右下S58
31,试剂区,试剂_S17,svg-reagent-s17,7.0,1.0,316.25,166.5,circle,10.0,,,5列×8行试剂圆中心；列号=试剂通道1~5，行号=从上到下1~8；编号规则为S<通道><瓶位>，如左上S11、左下S18、右下S58
32,试剂区,试剂_S27,svg-reagent-s27,7.0,2.0,291.25,166.5,circle,10.0,,,5列×8行试剂圆中心；列号=试剂通道1~5，行号=从上到下1~8；编号规则为S<通道><瓶位>，如左上S11、左下S18、右下S58
33,试剂区,试剂_S37,svg-reagent-s37,7.0,3.0,266.25,166.5,circle,10.0,,,5列×8行试剂圆中心；列号=试剂通道1~5，行号=从上到下1~8；编号规则为S<通道><瓶位>，如左上S11、左下S18、右下S58
34,试剂区,试剂_S47,svg-reagent-s47,7.0,4.0,241.25,166.5,circle,10.0,,,5列×8行试剂圆中心；列号=试剂通道1~5，行号=从上到下1~8；编号规则为S<通道><瓶位>，如左上S11、左下S18、右下S58
35,试剂区,试剂_S57,svg-reagent-s57,7.0,5.0,216.25,166.5,circle,10.0,,,5列×8行试剂圆中心；列号=试剂通道1~5，行号=从上到下1~8；编号规则为S<通道><瓶位>，如左上S11、左下S18、右下S58
36,试剂区,试剂_S18,svg-reagent-s18,8.0,1.0,316.25,191.5,circle,10.0,,,5列×8行试剂圆中心；列号=试剂通道1~5，行号=从上到下1~8；编号规则为S<通道><瓶位>，如左上S11、左下S18、右下S58
37,试剂区,试剂_S28,svg-reagent-s28,8.0,2.0,291.25,191.5,circle,10.0,,,5列×8行试剂圆中心；列号=试剂通道1~5，行号=从上到下1~8；编号规则为S<通道><瓶位>，如左上S11、左下S18、右下S58
38,试剂区,试剂_S38,svg-reagent-s38,8.0,3.0,266.25,191.5,circle,10.0,,,5列×8行试剂圆中心；列号=试剂通道1~5，行号=从上到下1~8；编号规则为S<通道><瓶位>，如左上S11、左下S18、右下S58
39,试剂区,试剂_S48,svg-reagent-s48,8.0,4.0,241.25,191.5,circle,10.0,,,5列×8行试剂圆中心；列号=试剂通道1~5，行号=从上到下1~8；编号规则为S<通道><瓶位>，如左上S11、左下S18、右下S58
40,试剂区,试剂_S58,svg-reagent-s58,8.0,5.0,216.25,191.5,circle,10.0,,,5列×8行试剂圆中心；列号=试剂通道1~5，行号=从上到下1~8；编号规则为S<通道><瓶位>，如左上S11、左下S18、右下S58
41,洗针头,洗针头_左列_洗外壁_R1,svg-wash-outer-row-1,1.0,1.0,184.75,17.0,circle,2.0,,,2x2洗针头圆中心；右列=洗内壁，左列=洗外壁
42,洗针头,洗针头_右列_洗内壁_R1,svg-wash-inner-row-1,1.0,2.0,177.75,17.0,circle,2.0,,,2x2洗针头圆中心；右列=洗内壁，左列=洗外壁
43,洗针头,洗针头_左列_洗外壁_R2,svg-wash-outer-row-2,2.0,1.0,184.75,42.0,circle,2.0,,,2x2洗针头圆中心；右列=洗内壁，左列=洗外壁
44,洗针头,洗针头_右列_洗内壁_R2,svg-wash-inner-row-2,2.0,2.0,177.75,42.0,circle,2.0,,,2x2洗针头圆中心；右列=洗内壁，左列=洗外壁
45,混合液体配液区,配液_R1_C1,svg-mix-p11,1.0,1.0,184.75,66.5,circle,4.25,,,2x4配液圆中心；列号为图面从左到右，行号为图面从上到下
46,混合液体配液区,配液_R1_C2,svg-mix-p12,1.0,2.0,170.75,66.5,circle,4.25,,,2x4配液圆中心；列号为图面从左到右，行号为图面从上到下
47,混合液体配液区,配液_R2_C1,svg-mix-p21,2.0,1.0,184.75,91.5,circle,4.25,,,2x4配液圆中心；列号为图面从左到右，行号为图面从上到下
48,混合液体配液区,配液_R2_C2,svg-mix-p22,2.0,2.0,170.75,91.5,circle,4.25,,,2x4配液圆中心；列号为图面从左到右，行号为图面从上到下
49,混合液体配液区,配液_R3_C1,svg-mix-p31,3.0,1.0,184.75,116.5,circle,4.25,,,2x4配液圆中心；列号为图面从左到右，行号为图面从上到下
50,混合液体配液区,配液_R3_C2,svg-mix-p32,3.0,2.0,170.75,116.5,circle,4.25,,,2x4配液圆中心；列号为图面从左到右，行号为图面从上到下
51,混合液体配液区,配液_R4_C1,svg-mix-p41,4.0,1.0,184.75,141.5,circle,4.25,,,2x4配液圆中心；列号为图面从左到右，行号为图面从上到下
52,混合液体配液区,配液_R4_C2,svg-mix-p42,4.0,2.0,170.75,141.5,circle,4.25,,,2x4配液圆中心；列号为图面从左到右，行号为图面从上到下
53,A/B液,A液,svg-liquid-a,1.0,1.0,177.75,166.5,circle,10.0,,,1x2大圆，上方
54,A/B液,B液,svg-liquid-b,2.0,1.0,177.75,191.5,circle,10.0,,,1x2大圆，下方
55,混匀电机,混匀电机_1,svg-motor-m1,,1.0,135.25,16.5,square,,,,右侧区域上方四个方块；输出为中心点，半径为空
56,混匀电机,混匀电机_2,svg-motor-m2,,2.0,85.25,16.5,square,,,,右侧区域上方四个方块；输出为中心点，半径为空
57,混匀电机,混匀电机_3,svg-motor-m3,,3.0,35.25,16.5,square,,,,右侧区域上方四个方块；输出为中心点，半径为空
58,混匀电机,混匀电机_4,svg-motor-m4,,4.0,-14.75,16.5,square,,,,右侧区域上方四个方块；输出为中心点，半径为空
59,玻片通道,R11,svg-slide-r11,1.0,1.0,135.25,116.5,square,,10.0,10.0,右侧区域下方长条内玻片中心；编号Rxy：x=通道号，y=从上到下第y张；例如R14为通道1最下面一张玻片；坐标为正方形中心点
60,玻片通道,R12,svg-slide-r12,2.0,1.0,135.25,141.5,square,,10.0,10.0,右侧区域下方长条内玻片中心；编号Rxy：x=通道号，y=从上到下第y张；例如R14为通道1最下面一张玻片；坐标为正方形中心点
61,玻片通道,R13,svg-slide-r13,3.0,1.0,135.25,166.5,square,,10.0,10.0,右侧区域下方长条内玻片中心；编号Rxy：x=通道号，y=从上到下第y张；例如R14为通道1最下面一张玻片；坐标为正方形中心点
62,玻片通道,R14,svg-slide-r14,4.0,1.0,135.25,191.5,square,,10.0,10.0,右侧区域下方长条内玻片中心；编号Rxy：x=通道号，y=从上到下第y张；例如R14为通道1最下面一张玻片；坐标为正方形中心点
63,玻片通道,R21,svg-slide-r21,1.0,2.0,85.25,116.5,square,,10.0,10.0,右侧区域下方长条内玻片中心；编号Rxy：x=通道号，y=从上到下第y张；例如R14为通道1最下面一张玻片；坐标为正方形中心点
64,玻片通道,R22,svg-slide-r22,2.0,2.0,85.25,141.5,square,,10.0,10.0,右侧区域下方长条内玻片中心；编号Rxy：x=通道号，y=从上到下第y张；例如R14为通道1最下面一张玻片；坐标为正方形中心点
65,玻片通道,R23,svg-slide-r23,3.0,2.0,85.25,166.5,square,,10.0,10.0,右侧区域下方长条内玻片中心；编号Rxy：x=通道号，y=从上到下第y张；例如R14为通道1最下面一张玻片；坐标为正方形中心点
66,玻片通道,R24,svg-slide-r24,4.0,2.0,85.25,191.5,square,,10.0,10.0,右侧区域下方长条内玻片中心；编号Rxy：x=通道号，y=从上到下第y张；例如R14为通道1最下面一张玻片；坐标为正方形中心点
67,玻片通道,R31,svg-slide-r31,1.0,3.0,35.25,116.5,square,,10.0,10.0,右侧区域下方长条内玻片中心；编号Rxy：x=通道号，y=从上到下第y张；例如R14为通道1最下面一张玻片；坐标为正方形中心点
68,玻片通道,R32,svg-slide-r32,2.0,3.0,35.25,141.5,square,,10.0,10.0,右侧区域下方长条内玻片中心；编号Rxy：x=通道号，y=从上到下第y张；例如R14为通道1最下面一张玻片；坐标为正方形中心点
69,玻片通道,R33,svg-slide-r33,3.0,3.0,35.25,166.5,square,,10.0,10.0,右侧区域下方长条内玻片中心；编号Rxy：x=通道号，y=从上到下第y张；例如R14为通道1最下面一张玻片；坐标为正方形中心点
70,玻片通道,R34,svg-slide-r34,4.0,3.0,35.25,191.5,square,,10.0,10.0,右侧区域下方长条内玻片中心；编号Rxy：x=通道号，y=从上到下第y张；例如R14为通道1最下面一张玻片；坐标为正方形中心点
71,玻片通道,R41,svg-slide-r41,1.0,4.0,-14.75,116.5,square,,10.0,10.0,右侧区域下方长条内玻片中心；编号Rxy：x=通道号，y=从上到下第y张；例如R14为通道1最下面一张玻片；坐标为正方形中心点
72,玻片通道,R42,svg-slide-r42,2.0,4.0,-14.75,141.5,square,,10.0,10.0,右侧区域下方长条内玻片中心；编号Rxy：x=通道号，y=从上到下第y张；例如R14为通道1最下面一张玻片；坐标为正方形中心点
73,玻片通道,R43,svg-slide-r43,3.0,4.0,-14.75,166.5,square,,10.0,10.0,右侧区域下方长条内玻片中心；编号Rxy：x=通道号，y=从上到下第y张；例如R14为通道1最下面一张玻片；坐标为正方形中心点
74,玻片通道,R44,svg-slide-r44,4.0,4.0,-14.75,191.5,square,,10.0,10.0,右侧区域下方长条内玻片中心；编号Rxy：x=通道号，y=从上到下第y张；例如R14为通道1最下面一张玻片；坐标为正方形中心点
75,废液孔,废液孔_M1,svg-port-waste-m1,,1.0,139.85,3.0,circle,2.5,,,固定孔位；位于M1混匀电机上方左侧；与网页端废液孔渲染坐标一致
76,废液孔,废液孔_M2,svg-port-waste-m2,,2.0,89.85,3.0,circle,2.5,,,固定孔位；位于M2混匀电机上方左侧；与网页端废液孔渲染坐标一致
77,废液孔,废液孔_M3,svg-port-waste-m3,,3.0,39.85,3.0,circle,2.5,,,固定孔位；位于M3混匀电机上方左侧；与网页端废液孔渲染坐标一致
78,废液孔,废液孔_M4,svg-port-waste-m4,,4.0,-10.15,3.0,circle,2.5,,,固定孔位；位于M4混匀电机上方左侧；与网页端废液孔渲染坐标一致
79,排毒孔,排毒孔_M1,svg-port-toxic-m1,,1.0,130.65,3.0,circle,2.5,,,固定孔位；位于M1混匀电机上方右侧；与网页端排毒孔渲染坐标一致
80,排毒孔,排毒孔_M2,svg-port-toxic-m2,,2.0,80.65,3.0,circle,2.5,,,固定孔位；位于M2混匀电机上方右侧；与网页端排毒孔渲染坐标一致
81,排毒孔,排毒孔_M3,svg-port-toxic-m3,,3.0,30.65,3.0,circle,2.5,,,固定孔位；位于M3混匀电机上方右侧；与网页端排毒孔渲染坐标一致
82,排毒孔,排毒孔_M4,svg-port-toxic-m4,,4.0,-19.35,3.0,circle,2.5,,,固定孔位；位于M4混匀电机上方右侧；与网页端排毒孔渲染坐标一致
83,清洗孔,通道1_清洗孔,svg-port-clean-channel-1,,1.0,135.25,217.5,circle,2.8,,,固定孔位；位于通道1下方；与网页端清洗孔渲染坐标一致
84,清洗孔,通道2_清洗孔,svg-port-clean-channel-2,,2.0,85.25,217.5,circle,2.8,,,固定孔位；位于通道2下方；与网页端清洗孔渲染坐标一致
85,清洗孔,通道3_清洗孔,svg-port-clean-channel-3,,3.0,35.25,217.5,circle,2.8,,,固定孔位；位于通道3下方；与网页端清洗孔渲染坐标一致
86,清洗孔,通道4_清洗孔,svg-port-clean-channel-4,,4.0,-14.75,217.5,circle,2.8,,,固定孔位；位于通道4下方；与网页端清洗孔渲染坐标一致
87,相机,试剂扫码相机,svg-camera-reagent-scanner,,,342.0,211.0,camera,,15.0,9.5,固定坐标；位于试剂区左下角外侧，水平移出试剂区但紧贴区域；用于试剂扫码
88,机械臂相对位置,针头_Z1,svg-arm-needle-z1,,,0.0,0.0,circle,6.0,,,"机械臂相对坐标；以机械臂纵向轴上的Z1针中心为(0,0)，X向左为正，Y向下为正"
89,机械臂相对位置,针头_Z2,svg-arm-needle-z2,,,0.0,25.0,circle,6.0,,,机械臂相对坐标；Z1与Z2纵向间距25mm
90,机械臂相对位置,机械臂随动相机_样本扫码,svg-arm-camera-follow,,,0.0,43.0,camera,,9.3,5.9,机械臂相对坐标；位于两个针头下方并随机械臂整体移动；该相机同时作为样本/玻片条码扫码相机，点击后进入样本扫码器对象详情。
91,试剂到位感应,试剂通道1_到位感应,svg-reagent-lane-1-position-sensor,,1.0,316.25,3.5,square,,6.0,6.0,每列试剂通道顶部到位感应灯；后端可按控件ID更新状态颜色
92,试剂到位感应,试剂通道2_到位感应,svg-reagent-lane-2-position-sensor,,2.0,291.25,3.5,square,,6.0,6.0,每列试剂通道顶部到位感应灯；后端可按控件ID更新状态颜色
93,试剂到位感应,试剂通道3_到位感应,svg-reagent-lane-3-position-sensor,,3.0,266.25,3.5,square,,6.0,6.0,每列试剂通道顶部到位感应灯；后端可按控件ID更新状态颜色
94,试剂到位感应,试剂通道4_到位感应,svg-reagent-lane-4-position-sensor,,4.0,241.25,3.5,square,,6.0,6.0,每列试剂通道顶部到位感应灯；后端可按控件ID更新状态颜色
95,试剂到位感应,试剂通道5_到位感应,svg-reagent-lane-5-position-sensor,,5.0,216.25,3.5,square,,6.0,6.0,每列试剂通道顶部到位感应灯；后端可按控件ID更新状态颜色
96,试剂区通道分隔线,试剂通道1-2_分隔虚线,svg-reagent-lane-separator-1-2,,,303.75,104.0,line,,,195.0,试剂区列间虚线，用于示意不同试剂通道边界
97,试剂区通道分隔线,试剂通道2-3_分隔虚线,svg-reagent-lane-separator-2-3,,,278.75,104.0,line,,,195.0,试剂区列间虚线，用于示意不同试剂通道边界
98,试剂区通道分隔线,试剂通道3-4_分隔虚线,svg-reagent-lane-separator-3-4,,,253.75,104.0,line,,,195.0,试剂区列间虚线，用于示意不同试剂通道边界
99,试剂区通道分隔线,试剂通道4-5_分隔虚线,svg-reagent-lane-separator-4-5,,,228.75,104.0,line,,,195.0,试剂区列间虚线，用于示意不同试剂通道边界
100,试剂入口感应,试剂通道1_入口感应,svg-reagent-lane-1-entry-sensor,,1.0,316.25,202.3,square,,6.5,6.5,每列试剂通道底部入口感应灯；后端可按控件ID更新状态颜色；图面不显示文字标识
101,试剂入口感应,试剂通道2_入口感应,svg-reagent-lane-2-entry-sensor,,2.0,291.25,202.3,square,,6.5,6.5,每列试剂通道底部入口感应灯；后端可按控件ID更新状态颜色；图面不显示文字标识
102,试剂入口感应,试剂通道3_入口感应,svg-reagent-lane-3-entry-sensor,,3.0,266.25,202.3,square,,6.5,6.5,每列试剂通道底部入口感应灯；后端可按控件ID更新状态颜色；图面不显示文字标识
103,试剂入口感应,试剂通道4_入口感应,svg-reagent-lane-4-entry-sensor,,4.0,241.25,202.3,square,,6.5,6.5,每列试剂通道底部入口感应灯；后端可按控件ID更新状态颜色；图面不显示文字标识
104,试剂入口感应,试剂通道5_入口感应,svg-reagent-lane-5-entry-sensor,,5.0,216.25,202.3,square,,6.5,6.5,每列试剂通道底部入口感应灯；后端可按控件ID更新状态颜色；图面不显示文字标识
105,试剂图例总量,试剂图例_一抗_总剩余量,svg-reagent-legend-primary-antibody-remaining-ml,,,,,,,,,试剂区图例中“一抗”后括号内的总剩余毫升数，后端可直接更新该控件
106,试剂图例总量,试剂图例_二抗_总剩余量,svg-reagent-legend-secondary-antibody-remaining-ml,,,,,,,,,试剂区图例中“二抗”后括号内的总剩余毫升数，后端可直接更新该控件
107,试剂图例总量,试剂图例_苏木素_总剩余量,svg-reagent-legend-hematoxylin-remaining-ml,,,,,,,,,试剂区图例中“苏木素”后括号内的总剩余毫升数，后端可直接更新该控件
108,试剂图例总量,试剂图例_伊红_总剩余量,svg-reagent-legend-eosin-remaining-ml,,,,,,,,,试剂区图例中“伊红”后括号内的总剩余毫升数，后端可直接更新该控件
109,试剂图例总量,试剂图例_无水酒精_总剩余量,svg-reagent-legend-absolute-ethanol-remaining-ml,,,,,,,,,试剂区图例中“无水酒精”后括号内的总剩余毫升数，后端可直接更新该控件
110,试剂图例总量,试剂图例_酸洗液_总剩余量,svg-reagent-legend-acid-wash-remaining-ml,,,,,,,,,试剂区图例中“酸洗液”后括号内的总剩余毫升数，后端可直接更新该控件
111,试剂图例总量,试剂图例_内源性酶阻断剂_总剩余量,svg-reagent-legend-endogenous-enzyme-blocker-remaining-ml,,,,,,,,,试剂区图例中“内源性酶阻断剂”后括号内的总剩余毫升数，后端可直接更新该控件
112,配液瓶状态,配液瓶空瓶总状态,svg-mix-empty-bottle-status,,,177.75,214.0,bar,,30.0,8.0,P11~P42共8个配液瓶的空瓶数量汇总，使用8格进度条显示
113,配液瓶状态格,配液瓶空瓶状态格_1,svg-mix-empty-bottle-cell-1,,,166.55,217.6,square,,2.5,3.2,配液瓶空瓶状态条的单格；绿色表示完全未配液空瓶
114,配液瓶状态格,配液瓶空瓶状态格_2,svg-mix-empty-bottle-cell-2,,,169.75,217.6,square,,2.5,3.2,配液瓶空瓶状态条的单格；绿色表示完全未配液空瓶
115,配液瓶状态格,配液瓶空瓶状态格_3,svg-mix-empty-bottle-cell-3,,,172.95,217.6,square,,2.5,3.2,配液瓶空瓶状态条的单格；绿色表示完全未配液空瓶
116,配液瓶状态格,配液瓶空瓶状态格_4,svg-mix-empty-bottle-cell-4,,,176.15,217.6,square,,2.5,3.2,配液瓶空瓶状态条的单格；绿色表示完全未配液空瓶
117,配液瓶状态格,配液瓶空瓶状态格_5,svg-mix-empty-bottle-cell-5,,,179.35,217.6,square,,2.5,3.2,配液瓶空瓶状态条的单格；绿色表示完全未配液空瓶
118,配液瓶状态格,配液瓶空瓶状态格_6,svg-mix-empty-bottle-cell-6,,,182.55,217.6,square,,2.5,3.2,配液瓶空瓶状态条的单格；绿色表示完全未配液空瓶
119,配液瓶状态格,配液瓶空瓶状态格_7,svg-mix-empty-bottle-cell-7,,,185.75,217.6,square,,2.5,3.2,配液瓶空瓶状态条的单格；绿色表示完全未配液空瓶
120,配液瓶状态格,配液瓶空瓶状态格_8,svg-mix-empty-bottle-cell-8,,,188.95,217.6,square,,2.5,3.2,配液瓶空瓶状态条的单格；绿色表示完全未配液空瓶
121,界面控件,右侧主Tab_调试,debugTab,,,,,html-control,,,,工程师调试/设备配置界面控件；无物理坐标，后端可按控件ID读取或更新。
122,界面控件,调试页面,debugPane,,,,,html-control,,,,工程师调试/设备配置界面控件；无物理坐标，后端可按控件ID读取或更新。
123,界面控件,调试模块,debugModule,,,,,html-control,,,,工程师调试/设备配置界面控件；无物理坐标，后端可按控件ID读取或更新。
124,界面控件,调试控制台,debugCommandConsole,,,,,html-control,,,,工程师调试/设备配置界面控件；无物理坐标，后端可按控件ID读取或更新。
125,界面控件,调试_COM卡片,debugComCard,,,,,html-control,,,,工程师调试/设备配置界面控件；无物理坐标，后端可按控件ID读取或更新。
126,界面控件,调试_COM口选择,debugComPortSelect,,,,,html-control,,,,工程师调试/设备配置界面控件；无物理坐标，后端可按控件ID读取或更新。
127,界面控件,调试_波特率,debugBaudRateSelect,,,,,html-control,,,,工程师调试/设备配置界面控件；无物理坐标，后端可按控件ID读取或更新。
128,界面控件,调试_数据位,debugDataBitsSelect,,,,,html-control,,,,工程师调试/设备配置界面控件；无物理坐标，后端可按控件ID读取或更新。
129,界面控件,调试_停止位,debugStopBitsSelect,,,,,html-control,,,,工程师调试/设备配置界面控件；无物理坐标，后端可按控件ID读取或更新。
130,界面控件,调试_校验位,debugParitySelect,,,,,html-control,,,,工程师调试/设备配置界面控件；无物理坐标，后端可按控件ID读取或更新。
131,界面控件,调试_COM状态,debugComStatusText,,,,,html-control,,,,工程师调试/设备配置界面控件；无物理坐标，后端可按控件ID读取或更新。
132,界面控件,调试_移位精度X,debugMovePrecisionXInput,,,,,html-control,,,,工程师调试/设备配置界面控件；无物理坐标，后端可按控件ID读取或更新。
133,界面控件,调试_移位精度Y,debugMovePrecisionYInput,,,,,html-control,,,,工程师调试/设备配置界面控件；无物理坐标，后端可按控件ID读取或更新。
134,界面控件,调试_加样体积目标,debugDispenseTargetInput,,,,,html-control,,,,工程师调试/设备配置界面控件；无物理坐标，后端可按控件ID读取或更新。
135,界面控件,调试_加样体积实测,debugDispenseMeasuredInput,,,,,html-control,,,,工程师调试/设备配置界面控件；无物理坐标，后端可按控件ID读取或更新。
136,界面控件,调试_单模块测试区,debugModuleControlGrid,,,,,html-control,,,,工程师调试/设备配置界面控件；无物理坐标，后端可按控件ID读取或更新。
137,界面控件,配置_液体类型页面,configSectionLiquidClass,,,,,html-control,,,,工程师调试/设备配置界面控件；无物理坐标，后端可按控件ID读取或更新。
138,界面控件,液体类型_当前类型,liquidClassSelect,,,,,html-control,,,,工程师调试/设备配置界面控件；无物理坐标，后端可按控件ID读取或更新。
139,界面控件,液体类型_新建名称,liquidClassNewNameInput,,,,,html-control,,,,工程师调试/设备配置界面控件；无物理坐标，后端可按控件ID读取或更新。
140,界面控件,液体类型_吸液卡片,liquidAspirationCard,,,,,html-control,,,,工程师调试/设备配置界面控件；无物理坐标，后端可按控件ID读取或更新。
141,界面控件,液体类型_加液卡片,liquidDispenseCard,,,,,html-control,,,,工程师调试/设备配置界面控件；无物理坐标，后端可按控件ID读取或更新。
